Id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
1372,Sri Rajasthani Foods,Yes,No,3.6,8,JP Nagar,Quick Bites,NA,"Rajasthani, North Indian",200,Delivery
1373,New Royal Treat,Yes,No,2.8,102,Bannerghatta Road,Quick Bites,"Roti, Chicken Biryani","North Indian, Chinese",350,Delivery
1374,I Cool,Yes,No,4,76,JP Nagar,Quick Bites,Shawarma,"Juices, Fast Food",150,Delivery
1375,The Kitchen,Yes,No,0,0,JP Nagar,Casual Dining,NA,"North Indian, Andhra, Chinese",800,Delivery
1376,Mahek Pizza,Yes,No,3.9,38,JP Nagar,Quick Bites,NA,Pizza,400,Delivery
1377,Asha Sweets Centre,Yes,No,3.9,42,JP Nagar,Dessert Parlor,"Rabri, Panipuri, Badam Milk, Kachori, Moong Dal Halwa",Fast Food,250,Delivery
1378,KC Das Sweet World,Yes,No,3.3,5,JP Nagar,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",200,Delivery
1379,Stoned Monkey,Yes,No,3.9,239,JP Nagar,Dessert Parlor,"Coffee, Waffles, Hot Chocolate Fudge, Cheesy Garlic Bread","Desserts, Ice Cream",500,Delivery
1380,Panther Cafe,Yes,No,3.5,8,BTM,Beverage Shop,NA,Beverages,200,Delivery
1381,Udupi Upachar,Yes,No,3.3,12,JP Nagar,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",300,Delivery
1382,Lassi Ghar,Yes,No,0,0,Bannerghatta Road,Beverage Shop,NA,"Beverages, Ice Cream, Juices, Sandwich",150,Delivery
1383,Authentic Aandhra,Yes,No,0,0,BTM,Delivery,NA,"Andhra, North Indian",300,Delivery
1384,Juicy Momos,Yes,No,3.1,21,Bannerghatta Road,Food Court,NA,"Tibetan, Momos",250,Delivery
1385,Roots n Fruits,Yes,No,3.6,13,JP Nagar,Beverage Shop,NA,"Beverages, Juices, Healthy Food",250,Delivery
1387,Kaizen Wellness Kitchen,Yes,No,3.7,37,JP Nagar,Casual Dining,NA,"Asian, Continental, European",800,Delivery
1388,Big Mishra Pedha,Yes,No,3.3,7,Bannerghatta Road,Sweet Shop,NA,"Mithai, Desserts, Fast Food",300,Delivery
1389,Mad Over Donuts,Yes,No,3.1,17,Bannerghatta Road,Dessert Parlor,NA,"Bakery, Desserts, Beverages",450,Delivery
1390,Kolkata Famous Kati Rolls,Yes,No,3.1,25,Bannerghatta Road,"Takeaway, Delivery",NA,"Fast Food, Rolls",100,Delivery
1391,Vinaya Cafe,Yes,No,3.7,55,JP Nagar,Quick Bites,"Coffee, Masala Dosa","South Indian, Street Food, Juices",200,Delivery
1392,RBP Greens Garden,Yes,No,2.7,48,BTM,Casual Dining,NA,"North Indian, Chinese",700,Delivery
1394,Dazu Momoz,Yes,No,3.1,8,Bannerghatta Road,Kiosk,NA,"Tibetan, Momos",200,Delivery
1395,Desi Dhaba,Yes,No,3.3,13,BTM,Delivery,NA,"North Indian, Chinese",400,Delivery
1396,World of Waffles,Yes,No,3.9,178,JP Nagar,Dessert Parlor,"Waffles, Nutella Pancakes, Nutella Waffle, Mexican Fries, Chocolate Overload, Chocolate Fondue, Ferrero Rocher",Desserts,400,Delivery
1397,Pikas Kitchen,Yes,No,3.4,24,Bannerghatta Road,Casual Dining,NA,"Continental, Italian",800,Delivery
1399,Lassi Cafe,Yes,No,3.4,16,Bannerghatta Road,Beverage Shop,NA,"Beverages, Ice Cream",150,Delivery
1400,The London Shakes,Yes,No,0,0,BTM,Beverage Shop,NA,"Beverages, Fast Food, Italian",400,Delivery
1401,New Mogul Empire,Yes,No,3.4,5,JP Nagar,Quick Bites,NA,"North Indian, Chinese",300,Delivery
1402,Atithi Biryani Corner,Yes,No,3.3,4,JP Nagar,Quick Bites,NA,"Biryani, South Indian",200,Delivery
1403,Oottupura Family Restaurant,Yes,No,3.4,224,Bannerghatta Road,Quick Bites,"Appam, Tea, Chicken Curry, Kadala Curry, Fish, Egg Curry, Idiyappam","Kerala, South Indian, Biryani",400,Delivery
1405,Yumme Veg,Yes,No,3.6,14,Bannerghatta Road,"Takeaway, Delivery",NA,"Fast Food, Street Food",200,Delivery
1406,Shree Guru Raghavendra Chats Chintamani Special,Yes,No,3.6,26,Bannerghatta Road,Quick Bites,NA,"Street Food, Fast Food",200,Delivery
1407,Vyanjan,Yes,No,3.9,199,BTM,Quick Bites,"Poha, Jalebi, Paratha, Bhindi Masala, Kachori, Puri Sabzi, Samosa","North Indian, Street Food",300,Delivery
1408,Havmor,Yes,No,3.5,21,JP Nagar,Dessert Parlor,NA,"Ice Cream, Desserts",200,Delivery
1409,Sri Sankara Cafe,Yes,No,3.6,26,BTM,Quick Bites,NA,South Indian,100,Delivery
1410,Bhaijaan Barbeques,Yes,No,3.4,8,South Bangalore,Food Truck,NA,"Mughlai, Arabian, BBQ",200,Delivery
1412,Sri Krishna Sagar,Yes,No,3.4,19,Kanakapura Road,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Delivery
1413,Chatter Platter,Yes,No,3.5,28,BTM,Quick Bites,NA,"Street Food, North Indian",300,Delivery
1414,Momo Time,Yes,No,0,0,Bannerghatta Road,Quick Bites,NA,"Momos, American",600,Delivery
1415,Bikaneri Sweets,Yes,No,3.4,19,Bannerghatta Road,Sweet Shop,NA,"Mithai, Street Food",250,Delivery
1416,Watsons,Yes,Yes,4,1010,JP Nagar,"Pub, Bar","Beer, Pizza, Veg Starter, Martini, Mojito, Cocktails, Crispy Corn","Finger Food, Chinese, Continental",1300,Delivery
1417,Sri Nandi Grand,Yes,No,3.4,6,BTM,Quick Bites,NA,"North Indian, South Indian",300,Delivery
1418,Chicken Man,Yes,Yes,3.8,72,JP Nagar,Quick Bites,"Chicken Grill, Roast Chicken, Chicken Wings, Sweet Potato Mash, Pulled Chicken Burger, Sweet Potato Fries","Roast Chicken, Burger",400,Delivery
1419,Only Sharjah,Yes,No,0,0,BTM,Beverage Shop,NA,Beverages,200,Delivery
1420,Chef Bakers,Yes,No,3.6,23,Bannerghatta Road,"Bakery, Quick Bites",NA,Bakery,450,Delivery
1421,Sree Ganesha Fruits & Juice,Yes,No,3.4,5,Bannerghatta Road,Beverage Shop,NA,Juices,100,Delivery
